ID,age,age bucket,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,response
1,56,38 to 58,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,0
2,57,38 to 58,services,married,high.school,unknown,no,no,telephone,may,mon,149,0
3,37,17 to 37,services,married,high.school,no,yes,no,telephone,may,mon,226,0
4,40,38 to 58,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,0
5,56,38 to 58,services,married,high.school,no,no,yes,telephone,may,mon,307,0
6,45,38 to 58,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,0
7,59,59 to 79,admin.,married,professional.course,no,no,no,telephone,may,mon,139,0
8,41,38 to 58,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,0
9,24,17 to 37,technician,single,professional.course,no,yes,no,telephone,may,mon,380,0
10,25,17 to 37,services,single,high.school,no,yes,no,telephone,may,mon,50,0
11,41,38 to 58,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,0
12,25,17 to 37,services,single,high.school,no,yes,no,telephone,may,mon,222,0
13,29,17 to 37,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,0
14,57,38 to 58,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,0
15,35,17 to 37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,0
16,54,38 to 58,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,0
17,35,17 to 37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,0
18,46,38 to 58,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,0
19,50,38 to 58,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,0
20,39,38 to 58,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,0
21,30,17 to 37,unemployed,married,high.school,no,no,no,telephone,may,mon,38,0
22,55,38 to 58,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,0
23,55,38 to 58,retired,single,high.school,no,yes,no,telephone,may,mon,342,0
24,41,38 to 58,technician,single,high.school,no,yes,no,telephone,may,mon,181,0
25,37,17 to 37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,0
26,35,17 to 37,technician,married,university.degree,no,no,yes,telephone,may,mon,99,0
27,59,59 to 79,technician,married,unknown,no,yes,no,telephone,may,mon,93,0
28,39,38 to 58,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,0
29,54,38 to 58,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,0
30,55,38 to 58,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,0
31,46,38 to 58,admin.,married,unknown,no,no,no,telephone,may,mon,348,0
32,59,59 to 79,technician,married,unknown,no,yes,no,telephone,may,mon,386,0
33,49,38 to 58,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,0
34,54,38 to 58,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,0
35,54,38 to 58,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,0
36,55,38 to 58,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,0
37,34,17 to 37,services,married,high.school,no,no,no,telephone,may,mon,365,0
38,52,38 to 58,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,0
39,41,38 to 58,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,0
40,56,38 to 58,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,0
41,58,38 to 58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,0
42,32,17 to 37,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,0
43,38,38 to 58,admin.,single,professional.course,no,no,no,telephone,may,mon,160,0
44,57,38 to 58,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,0
45,44,38 to 58,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,0
46,42,38 to 58,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,0
47,57,38 to 58,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,0
48,40,38 to 58,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,0
49,35,17 to 37,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,0
50,45,38 to 58,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,0
51,54,38 to 58,admin.,married,high.school,no,no,no,telephone,may,mon,160,0
52,39,38 to 58,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,0
53,60,59 to 79,admin.,married,high.school,no,no,no,telephone,may,mon,253,0
54,53,38 to 58,admin.,single,professional.course,no,no,no,telephone,may,mon,179,0
55,55,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,0
56,55,38 to 58,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,0
57,50,38 to 58,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,0
58,45,38 to 58,services,married,high.school,unknown,yes,no,telephone,may,mon,787,0
59,55,38 to 58,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,0
60,25,17 to 37,technician,single,university.degree,no,yes,no,telephone,may,mon,174,0
61,47,38 to 58,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,0
62,51,38 to 58,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,0
63,42,38 to 58,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,0
64,42,38 to 58,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,0
65,48,38 to 58,admin.,married,high.school,no,no,no,telephone,may,mon,357,0
66,37,17 to 37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,0
67,44,38 to 58,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,0
68,33,17 to 37,admin.,married,unknown,no,yes,no,telephone,may,mon,273,0
69,56,38 to 58,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,0
70,44,38 to 58,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,0
71,41,38 to 58,management,married,basic.6y,no,no,no,telephone,may,mon,200,0
72,44,38 to 58,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,0
73,47,38 to 58,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,0
74,57,38 to 58,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,0
75,37,17 to 37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,0
76,41,38 to 58,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1
