CreditRating	AMB	No of loans	No of credit cards	No of bad payments	Gender	Occupation
514	1790	2	2	2	0	1
514	2030	4	2	3	0	1
517	1740	3	2	1	0	1
426	1980	3	2	3	0	1
539	2130	3	3	3	0	1
516	1780	3	2	2	0	2
682	1830	3	3	3	1	3
678	2160	4	2	2	0	3
536	2110	4	2	3	0	1
468	1730	3	3	3	0	1
596	2030	3	2	3	1	1
554	1870	2	2	2	1	1
462	1910	3	2	4	0	2
568	2150	3	3	5	1	2
796	2590	4	3	4	0	3
656	1780	4	2	1	0	3
662	2190	3	3	4	1	1
376	1990	3	3	4	0	2
501	1700	2	2	1	1	1
752	1920	3	3	2	1	3
523	1790	3	2	3	0	1
512	2000	3	2	4	0	2
413	1690	3	2	3	0	2
477	1820	3	2	3	1	2
704	2210	4	3	2	1	1
672	2290	4	3	3	0	2
617	2000	4	2	3	0	3
447	1700	3	2	2	0	1
311	1600	2	2	3	0	2
846	2040	4	3	1	1	3
819	2250	4	3	3	1	3
505	1930	2	2	2	1	2
608	2250	3	3	3	1	1
628	2280	5	3	4	1	1
530	2000	2	2	3	0	2
527	2080	3	3	3	0	2
529	1880	2	2	2	0	2
662	2420	4	3	4	0	3
591	1720	3	2	1	0	3
487	1740	3	2	2	0	2
480	1560	2	2	1	0	1
601	1840	4	3	2	0	3
475	1990	2	2	3	0	1
693	1920	3	2	1	1	1
749	1940	3	3	2	1	3
464	1810	3	2	3	0	1
584	1990	2	3	2	0	2
406	2050	3	2	6	0	2
522	1980	2	2	2	0	1
484	1700	3	2	3	1	2
680	2100	3	2	3	1	1
410	1860	2	2	3	0	2
528	2150	2	3	4	0	2
589	2100	3	2	3	0	2
366	1650	3	2	3	0	2
566	1720	2	2	2	1	1
634	2190	3	2	3	1	1
685	2240	4	3	3	0	3
621	1840	3	3	1	0	3
699	2090	4	2	1	0	3
814	2200	3	3	1	0	3
454	1610	2	2	2	0	2
726	2220	4	3	2	0	3
542	1910	2	3	2	0	1
586	1860	3	2	2	0	3
500	1450	2	2	1	1	2
568	2210	3	3	4	0	2
684	2040	4	3	3	0	1
421	2140	3	2	4	0	2
745	2080	4	3	3	0	3
750	1950	3	3	3	1	3
709	2160	4	2	1	0	3
483	1650	3	2	3	0	2
566	2040	3	3	2	0	1
649	2140	3	3	3	0	3
481	1900	2	2	2	0	2
584	1930	3	2	2	0	3
794	2280	4	3	3	1	3
546	2130	3	2	3	0	2
646	1780	4	2	1	0	3
645	2190	3	3	4	1	1
829	2140	4	3	2	1	3
742	2050	2	2	1	1	3
665	2410	3	3	2	0	1
407	1520	2	2	3	0	2
847	2250	4	3	2	1	3
462	1900	4	2	4	0	2
776	1880	3	3	1	1	3
575	1930	3	3	2	0	2
440	2010	2	2	4	0	2
644	1920	4	2	2	0	3
524	2150	3	2	2	0	1
642	2110	3	2	2	0	3
707	2080	3	3	2	0	1
723	2150	4	3	3	1	3
686	1970	2	2	1	1	3
600	2440	3	3	3	0	1
571	2000	2	2	1	1	1
655	2060	3	2	1	0	3
770	2080	3	3	2	1	3
464	2010	3	2	5	0	2
554	2260	3	3	5	0	1
616	2410	3	3	4	0	1
950	2440	4	3	3	1	3
370	1910	3	2	4	0	1
661	2530	4	3	4	0	3
488	2130	3	2	4	0	2
603	1890	3	2	1	1	1
527	1990	3	3	3	1	1
489	2110	3	2	3	0	1
502	1710	2	2	1	0	2
517	1740	2	2	2	0	2
556	1940	2	2	2	1	1
521	2000	3	2	3	1	2
560	2010	4	3	2	0	1
461	1900	3	3	3	0	2
898	2290	5	4	1	1	3
530	1920	3	2	2	0	2
676	1950	3	2	3	1	2
494	1920	2	2	4	0	2
497	1930	2	3	3	0	2
475	1930	3	3	3	0	1
652	2060	2	2	1	1	1
539	1900	3	3	3	1	1
666	2160	4	3	3	1	1
511	2070	2	2	2	0	2
675	2020	3	3	1	0	3
561	2250	3	3	4	0	2
