LEADNBR	CUSTOMERNBR	CENTERNBR	LEADTYPENBR	LEADJOBTYPENBR	LEADSRCNBR	LEADDISPNBR	ACTIVITYDATE	DATEENTER	AMOUNT
1	10542	66	4	3	2	0	23-02-2010	23-02-2010	549
2	11704	66	1	1	2	1	24-02-2010	24-02-2010	619
3	11138	66	4	3	2	1	16-06-2010	16-06-2010	617
4	11138	66	4	3	2	0	16-06-2010	16-06-2010	721
5	9095	66	4	3	2	0	17-06-2010	17-06-2010	685
6	11074	66	4	3	2	1	18-06-2010	18-06-2010	675
7	11074	66	4	3	2	4	18-06-2010	18-06-2010	585
8	11493	66	4	3	2	0	23-06-2010	23-06-2010	766
9	11870	66	1	2	2	1	06-10-2009	25-06-2010	763
10	10989	66	4	3	2	0	28-06-2010	28-06-2010	795
11	11861	66	4	3	2	0	28-06-2010	28-06-2010	510
12	11492	66	4	3	2	0	01-07-2010	01-07-2010	695
13	11861	66	4	3	2	0	02-07-2010	02-07-2010	537
14	11174	66	4	3	2	0	06-07-2010	06-07-2010	645
15	11131	66	4	3	2	0	14-07-2010	14-07-2010	505
16	11203	66	4	3	2	0	19-07-2010	19-07-2010	622
17	11203	66	4	3	2	0	19-07-2010	19-07-2010	804
18	11492	66	4	3	2	0	21-07-2010	21-07-2010	734
19	11697	66	4	3	2	0	29-07-2010	29-07-2010	673
20	11878	66	4	3	2	0	09-08-2010	09-08-2010	666
21	11492	66	1	2	2	0	19-08-2010	19-08-2010	754
22	2596	66	4	3	2	0	23-08-2010	23-08-2010	570
23	11060	66	4	3	2	0	23-08-2010	23-08-2010	508
24	1433	66	4	3	2	0	26-08-2010	26-08-2010	758
25	11522	66	4	3	2	0	28-09-2010	28-09-2010	536
26	789	66	4	3	2	0	01-10-2010	01-10-2010	742
27	11066	66	4	3	2	0	06-10-2010	06-10-2010	613
28	11522	66	4	3	2	0	07-10-2010	07-10-2010	531
29	11060	66	4	3	2	0	07-10-2010	07-10-2010	560
30	11551	66	4	3	2	0	07-10-2010	07-10-2010	585
31	11056	66	1	2	2	0	22-10-2010	22-10-2010	677
32	11072	66	4	3	2	0	28-10-2010	28-10-2010	582
33	11072	66	4	3	2	0	28-10-2010	28-10-2010	787
34	11693	66	4	3	2	0	12-11-2010	12-11-2010	571
35	10113	66	4	3	2	0	19-11-2010	19-11-2010	829
36	11057	66	1	2	2	0	19-11-2010	19-11-2010	759
37	11551	66	4	3	2	0	30-11-2010	30-11-2010	801
38	11857	66	4	3	5	0	01-12-2010	01-12-2010	585
39	11605	66	4	3	6	0	14-12-2010	14-12-2010	502
40	11060	66	4	3	9	0	21-12-2010	21-12-2010	817
41	11138	66	4	3	8	0	31-12-2010	31-12-2010	749
42	1060	66	4	3	9	0	12-01-2011	12-01-2011	506
43	10672	66	4	3	16	0	21-01-2011	21-01-2011	675
44	11551	66	4	3	9	0	27-01-2011	27-01-2011	791
45	11181	66	4	3	9	0	07-02-2011	07-02-2011	809
46	10989	66	1	2	7	1	12-04-2011	12-04-2011	642
